----, ἀλλήλων	one another	(reciprocal pronoun)
ἀμαθία, ἀμαθίας, ἡ	ignorance, stupidity	(noun)
δείκνυμι, δείξω, ἔδειξα, δέδειχα, δέδειγμαι, ἐδείχθην	show	(verb)
ἐπιδείκνυμαι	show off, display	(verb)
ἐπίδειξις, ἐπιδείξεως, ἡ	display, demonstration	(noun)
ἐπαν + ἵσταμαι	rise in insurrection against ( + dat.)	(verb)
ἐρωτάω, ἐρωτήσω, ἠρώτησα, ἠρώτηκα, ἠρώτημαι, ἠρωτήθην	ask, question	(verb)
ἕτερος, ἑτέρα, ἕτερον	the other (of two)	(adj.)
ἔτι	yet, still	(adv.)
μηκέτι, οὐκέτι	no longer	(adv.)
κοινός, κοινή, κοινόν	common	(adj.)
Λακεδαιμόνιος, Λακεδαιμονία, Λακεδαιμόνιον	Spartan (of persons)	(adj.)
λανθάνω, λήσω, ἔλαθον, λέληθα, ----, ----	escape the notice of	(verb)
μαθητής, μαθητοῦ, ὁ	student, pupil	(noun)
μέσος, μέση, μέσον	middle (of)	(adj.)
νέος, νέα, νέον	new, young	(adj.)
παρα-	beside	(prefix)
παρα + γίγνομαι	be present, be with ( + dat.)	(verb)
παρα + δίδωμι	hand over, surrender; hand down	(verb)
παρα + μένω	stand fast; stay behind	(verb)
ῥᾴδιος, ῥᾳδία, ῥᾴδιον	easy	(adj.)
στάσις, στάσεως, ἡ	civil strife, faction	(noun)
τυγχάνω, τεύξομαι, ἔτυχον, τετύχηκα, ----, ----	happen (to); hit the mark; obtain ( + gen.)	(verb)
ὑπο-	under; secretly; gradually; slightly	(prefix)
ὑπο + ακούω	heed, obey ( + gen. or dat.)	(verb)
ὑπο + μένω	await; stand firm; endure	(verb)
φθάνω, φθήσομαι, [ἔφθασα or ἔφθην], ----, ----, ----	act first; be first (in doing something); anticipate (someone)	(verb)
χαίρω, χαιρήσω, ----, κεχάρηκα, ----, ἐχάρην	rejoice (in), take pleasure (in), enjoy ( + dat.)	(verb)
αἱρέω, αἱρήσω, εἷλον, ᾕρηκα, ᾕρημαι, ᾑρέθην	take, capture; choose (mid.)	(verb)
αἰσθάνομαι, αἰσθησομαι, ᾐσθόμην, -----, ᾔσθημαι, -----	perceive ( + gen. or acc.)	(verb)
δια-	through, in different directions	(prefix)
ἑαυτοῦ, ἑαυτῆς, ἑαυτοῦ	himself, herself, itself	(pronoun)
ἐγώ	I	(pronoun)
ἐμαυτοῦ, ἐμαυτῆς	myself	(pronoun)
ἐμός, ἐμή, ἐμόν	my; mine	(adj.)
εἰμί, ἔσομαι, -----, -----, -----, -----	to be	(verb)
ἔστι(ν)	there is; it is possible	(verb)
ἔξεστι(ν)	it is allowed, it is possible	(verb)
ἕπομαι, ἕψομαι, ἑσπόμην, -----, -----, -----	follow, pursue ( + dat.)	(verb)
ἡμεῖς	we	(pronoun)
ἡμῶν αὐτῶν	ourselves	(pronoun)
ἡμέτερος, ἡμετέρα, ἡμέτερον	our; ours	(adj.)
οἷος, οἵα, οἷον	such as, of the sort which; what sort of!	(adj.)
οἷός τ᾿ εἰμί	be able	
ὁράω, ὄψομαι, εἶδον, [ἑόρακα or ἑώρακα], [ἑώραμαι or ὦμμαι], ὤφθην	see	(verb)
-περ	(adds force to preceding word)	(enclitic particle)
περι-	all around; very, exceedingly	(prefix)
ποῖος, ποία, ποῖον	of what kind?	(adj.)
σύ	you	(pronoun)
σεαυτοῦ, σεαυτῆς	yourself	(pronoun)
σός, σή, σόν	your; yours	(adj.)
σφῶν αὐτῶν	themselves	(pronoun)
σφέτερος αὐτῶν	their (own)	
τίς, τί	who?, which?, what?	(pronoun/adj.)
τις, τι	someone, something; anyone, anything; some, any	(enclitic pronoun/adj.)
τοιοῦτος, τοιαύτη, τοιοῦτο/τοιοῦτον	of this/that sort, such (as this)	(adj.)
ὑμεῖς	you (pl.)	(pronoun)
ὑμῶν αὐτῶν	yourselves	(pronoun)
ὑμέτερος, ὑμετέρα, ὑμέτερον	your; yours (pl.)	(adj.)
φέρω, οἴσω, [ἤνεγκα or ἤνεγκον], ἐνήνοχα, ἐνήνεγμαι, ἠνέχθην	bring, bear, carry; win (mid.)	(verb)
δια + φέρω	carry through; be different from, excel ( + gen.)	(verb)
συμ + φέρω	bring together; be useful or profitable; it is expedient (impersonal)	(verb)
βαίνω, -βήσομαι, -ἔβην, βέβηκα, ----, ----	walk, step, go; stand (perfect)	(verb)
ἀνα + βαίνω	go up, go upland; board, mount	(verb)
γιγνώσκω, γνώσομαι, ἔγνων, ἔγνωκα, ἔγνωσμαι, ἐγνώσθην	perceive, recognize, know	(verb)
ἕκαστος, ἑκάστη, ἕκαστον	each (of many); each (of several groups, pl.), all (considered singly)	(adj.)
ἕνεκα (+ preceding gen.)	for the sake of 	(prep.)
Ζεύς, Διός, ὁ	Zeus	(noun)
θέατρον, θεατρου, τό	theater	(noun)
λέγω, [ἐρῶ or λέξω], [εἶπον or ἕλεξα], εἴρηκα, [εἴρημαι or λέλεγμαι], [ἐλέχθην or ἐρρήθην]	say, speak	(verb)
λιμήν, λιμένος, ὁ	harbor	(noun)
μήποτε, οὔποτε	never, not ever	(adv.)
ναῦς, νεώς, ἡ	ship	(noun)
νή	by ( + name of a god in acc.)	(particle)
νομίζω, νομιῶ, ἐνόμισα, νενόμικα, νενόμισμαι, ἐνομίσθην	consider, think, believe	(verb)
ὅτι, ὡς	that, because	(conj.)
πάνυ	perfectly, very; by all means	(adv.)
πίπτω, πεσοῦμαι, ἔπεσον, πέπτωκα, ----, ----	fall	(verb)
ἐκ + πίπτω	be driven out, be banished	(verb)
πολιτεία, πολιτείας, ἡ	government, constitution, commonwealth	(noun)
πολύς, πολλή, πολύ	much, many	(adj.)
πολλάκις	often	(adv.)
πονηρός, πονηρά, πονηρόν	worthless, evil, base	(adj.)
προ-	forward, on behalf of, before	(prefix)
προ + δίδωμι	betray, give up (to an enemy), abandon	(verb)
σωφροσύνη, σωφροσύνης, ἡ	prudence, self-control, moderation	(noun)
φημί, φήσω, ἔφησα, ----, ----, ----	say, assert, affirm	(verb)
ἁμαρτάνω, ἁμαρτήσομαι, ἥμαρτον, ἡμάρτηκα, ἡμάρτημαι, ἡμαρτήθην	miss ( + gen.); make a mistake, do wrong	(verb)
ἁμαρτία, ἁμαρτίας, ἡ	mistake, error	(noun)
βαρύς, βαρεῖα, βαρύ	heavy	(adj.)
δοκέω, δοξω, ἔδοξα, ----, δέδογμαι, -ἐδόχθην	seem, think	(verb)
δύναμαι, δυνήσομαι, ----, ----, δεδύνημαι, ἐδυνήθην	be able	(verb)
δύναμις, δυνάμεως, ἡ	strength, power	(noun)
δύο	two	(numeral)
δεύτερος, δευτέρα, δεύτερον	second	(numeral)
εῖμι, ----, ----, ----, ----, ----	go, come	(verb)
εἷς, μία, ἕν	one	(numeral)
ἐλαύνω, ἐλάω, ἤλασα, -ἐλήλακα, ἐλήλαμαι, ἠλάθην	drive, march	(verb)
ἐπίσταμαι, ἐπιστήσομαι, ----, ----, ----, ἠπιστήθην	know	(verb)
ἐπιστήμη, ἐπιστήμης, ἡ	knowledge	(noun)
ἔχω, [ἕξω or σχήσω], ἔσχον, ἔσχηκα, -ἔσχημαι, ----	have, hold; be able; be ( + adv.); cling to, be next to (mid. + gen.)	(verb)
ἡδύς, ἡδεῖα, ἡδύ	pleasant, glad	(adj.)
μάλιστα	most	(adv.)
μέγας, μεγάλη, μέγα	big, great, large	(adj.)
οὐδείς, οὐδεμία, οὐδέν	no one, nothing	(noun)
ὀρθός, ορθή, ὀρθόν	straight, correct	(adj.)
πόσος, πόση, πόσον	how much/many? how large?	(adj.)
τοσοῦτος, τοσαύτη, τοσοῦτο/τοσοῦτον	so much/many, so largw	(adj.)
ὅσος, ὅση, ὅσον	as much/many, as large as; how much/many! how large!	(adj.)
πότερος, ποτέρα, πότερον	which (of two)	(adj.)
πότερον	(introduces alternative question)	(adv.)
ταχύς, ταχεῖα, ταχύ	quick, swift	(adj.)
τέτταρες, τέτταρα	four	(numeral)
τέταρτος, τετάρτη, τέταρτον	fourth	(numeral)
τρεῖς, τρία	three	(numeral)
τρίτος, τρίτη, τρίτον	third	(numeral)
ὑπερ-	over; greatly; on behalf of	(prefix)
